function,answer,elapsed_time_sec
AddNewReservation,B,7.59
AddNewReservationScreen,D,15.43
AddNewRoom,B,11.71
AddNewRoomScreen,A,6.61
AddNewUser,C,7.1
AddNewUserScreen,A,5.2
CheckRoomAvailabilityScreen,D,14.11
DeleteReservationByID,D,5.78
DeleteReservationScreen,A,5.71
DeleteRoomByID,D,11.19
DeleteRoomScreen,C,6.36
DeleteUserByID,A,12.75
DeleteUserScreen,C,9.52
DisplayReservationCard,C,6.85
DisplayReservationsScreen,A,5.56
DisplayRoomCard,D,5.99
DisplayRoomListScreen,C,8.88
DisplayUserCard,A,9.35
DisplayUserListScreen,C,10.19
ExitScreen,B,8.92
IsDate1BeforeDate2,A,8.41
IsTime1BeforeTime2,B,12.5
MainMenu,B,6.41
PauseProgram,B,6.41
ReadDate,C,8.33
ReadIntBetween,B,7.09
ReadReservationInfo,D,5.3
ReadReservationPeriod,B,8.07
ReadRoomInfo,B,7.08
ReadTime,D,5.75
ReadUserInfo,C,6.62
ReservationManagementMenu,D,10.58
RoomManagementMenu,B,8.63
ScreenHeader,D,11.94
SearchReservationByID,A,8.75
SearchRoomByID,D,5.69
SearchRoomByIDScreen,B,8.41
SearchRoomByName,C,12.98
SearchRoomByNameScreen,D,8.01
SearchUserByFirstName,D,11.72
SearchUserByFirstNameScreen,D,8.01
SearchUserByID,B,7.1
SearchUserByIDScreen,B,4.24
SortReservationsByDate,C,8.33
SortReservationsByDateScreen,A,14.56
SwapReservationData,A,5.18
UserManagementMenu,D,7.3
main,D,9.24

TOTAL_ELAPSED_TIME(sec),417.56
