function,answer,elapsed_time_sec
AddNewReservation,D,10.34
AddNewReservationScreen,D,11.4
AddNewRoom,B,9.89
AddNewRoomScreen,A,9.15
AddNewUser,C,10.69
AddNewUserScreen,A,10.22
CheckRoomAvailabilityScreen,D,4.92
DeleteReservationByID,B,9.06
DeleteReservationScreen,A,5.95
DeleteRoomByID,B,4.78
DeleteRoomScreen,C,6.87
DeleteUserByID,B,8.52
DeleteUserScreen,C,13.19
DisplayReservationCard,C,9.26
DisplayReservationsScreen,A,9.75
DisplayRoomCard,C,9.1
DisplayRoomListScreen,C,8.85
DisplayUserCard,A,8.51
DisplayUserListScreen,C,8.12
ExitScreen,D,7.82
IsDate1BeforeDate2,A,8.63
IsTime1BeforeTime2,B,9.37
MainMenu,B,7.3
PauseProgram,B,10.3
ReadDate,B,6.43
ReadIntBetween,B,5.42
ReadReservationInfo,D,4.76
ReadReservationPeriod,B,3.7
ReadRoomInfo,D,6.05
ReadTime,D,5.63
ReadUserInfo,C,7.28
ReservationManagementMenu,B,7.3
RoomManagementMenu,B,7.53
ScreenHeader,A,7.96
SearchReservationByID,A,8.84
SearchRoomByID,D,13.82
SearchRoomByIDScreen,B,10.42
SearchRoomByName,C,6.81
SearchRoomByNameScreen,?,10.99
SearchUserByFirstName,D,10.24
SearchUserByFirstNameScreen,D,5.57
SearchUserByID,A,6.16
SearchUserByIDScreen,D,8.36
SortReservationsByDate,C,6.86
SortReservationsByDateScreen,A,7.57
SwapReservationData,A,8.31
UserManagementMenu,D,6.03
main,B,10.12

TOTAL_ELAPSED_TIME(sec),403.96
