function,answer,elapsed_time_sec
AddNewReservation,B,4.74
AddNewReservationScreen,D,7.52
AddNewRoom,A,6.11
AddNewRoomScreen,A,9.61
AddNewUser,C,10.44
AddNewUserScreen,C,9.94
CheckRoomAvailabilityScreen,B,6.03
DeleteReservationByID,B,8.35
DeleteReservationScreen,A,6.15
DeleteRoomByID,B,5.89
DeleteRoomScreen,C,11.93
DeleteUserByID,B,6.47
DeleteUserScreen,C,7.29
DisplayReservationCard,C,10.67
DisplayReservationsScreen,D,14.89
DisplayRoomCard,C,5.23
DisplayRoomListScreen,D,5.61
DisplayUserCard,D,8.05
DisplayUserListScreen,?,5.06
ExitScreen,C,7.95
IsDate1BeforeDate2,A,9.21
IsTime1BeforeTime2,B,12.74
MainMenu,B,6.92
PauseProgram,B,8.01
ReadDate,B,7.53
ReadIntBetween,B,11.31
ReadReservationInfo,D,13.77
ReadReservationPeriod,B,10.84
ReadRoomInfo,B,8.45
ReadTime,D,6.65
ReadUserInfo,C,8.92
ReservationManagementMenu,B,8.34
RoomManagementMenu,D,9.66
ScreenHeader,A,9.97
SearchReservationByID,A,5.13
SearchRoomByID,D,7.47
SearchRoomByIDScreen,C,7.09
SearchRoomByName,B,8.76
SearchRoomByNameScreen,B,11.46
SearchUserByFirstName,A,5.88
SearchUserByFirstNameScreen,C,8.06
SearchUserByID,B,15.87
SearchUserByIDScreen,D,13.33
SortReservationsByDate,C,9.47
SortReservationsByDateScreen,A,7.7
SwapReservationData,A,9.07
UserManagementMenu,?,5.0
main,B,9.31

TOTAL_ELAPSED_TIME(sec),423.97
