function,answer,elapsed_time_sec
AddNewReservation,B,11.27
AddNewReservationScreen,D,7.34
AddNewRoom,D,12.9
AddNewRoomScreen,D,9.2
AddNewUser,C,11.13
AddNewUserScreen,A,7.32
CheckRoomAvailabilityScreen,B,11.08
DeleteReservationByID,B,9.33
DeleteReservationScreen,A,7.15
DeleteRoomByID,A,15.6
DeleteRoomScreen,C,6.65
DeleteUserByID,B,8.96
DeleteUserScreen,C,5.94
DisplayReservationCard,C,11.14
DisplayReservationsScreen,A,8.33
DisplayRoomCard,D,6.86
DisplayRoomListScreen,D,8.68
DisplayUserCard,B,8.36
DisplayUserListScreen,C,14.23
ExitScreen,D,8.48
IsDate1BeforeDate2,A,7.18
IsTime1BeforeTime2,B,17.44
MainMenu,B,10.6
PauseProgram,C,9.72
ReadDate,B,8.35
ReadIntBetween,B,7.04
ReadReservationInfo,A,8.32
ReadReservationPeriod,B,6.6
ReadRoomInfo,D,5.59
ReadTime,D,4.17
ReadUserInfo,C,10.46
ReservationManagementMenu,B,5.76
RoomManagementMenu,B,12.66
ScreenHeader,A,12.48
SearchReservationByID,A,8.73
SearchRoomByID,A,8.86
SearchRoomByIDScreen,B,7.9
SearchRoomByName,C,7.46
SearchRoomByNameScreen,D,17.97
SearchUserByFirstName,A,6.77
SearchUserByFirstNameScreen,A,13.5
SearchUserByID,A,8.89
SearchUserByIDScreen,B,11.15
SortReservationsByDate,C,9.92
SortReservationsByDateScreen,A,34.21
SwapReservationData,D,7.46
UserManagementMenu,D,7.08
main,B,8.07

TOTAL_ELAPSED_TIME(sec),484.34
