function,answer,elapsed_time_sec
AddNewReservation,B,9.43
AddNewReservationScreen,D,5.59
AddNewRoom,B,8.87
AddNewRoomScreen,A,8.8
AddNewUser,C,9.63
AddNewUserScreen,D,12.84
CheckRoomAvailabilityScreen,?,6.46
DeleteReservationByID,B,17.67
DeleteReservationScreen,A,7.84
DeleteRoomByID,B,9.76
DeleteRoomScreen,C,5.54
DeleteUserByID,B,6.13
DeleteUserScreen,C,13.49
DisplayReservationCard,C,5.55
DisplayReservationsScreen,D,10.71
DisplayRoomCard,C,5.56
DisplayRoomListScreen,?,4.32
DisplayUserCard,D,5.58
DisplayUserListScreen,C,12.97
ExitScreen,A,15.84
IsDate1BeforeDate2,A,4.59
IsTime1BeforeTime2,D,9.09
MainMenu,B,4.3
PauseProgram,B,14.81
ReadDate,B,5.87
ReadIntBetween,B,7.91
ReadReservationInfo,D,21.16
ReadReservationPeriod,B,9.73
ReadRoomInfo,D,10.02
ReadTime,D,6.73
ReadUserInfo,D,5.9
ReservationManagementMenu,B,11.54
RoomManagementMenu,D,7.74
ScreenHeader,A,26.38
SearchReservationByID,A,11.72
SearchRoomByID,A,10.68
SearchRoomByIDScreen,B,10.2
SearchRoomByName,B,10.31
SearchRoomByNameScreen,A,8.55
SearchUserByFirstName,D,19.79
SearchUserByFirstNameScreen,C,6.96
SearchUserByID,B,5.77
SearchUserByIDScreen,B,8.56
SortReservationsByDate,C,5.8
SortReservationsByDateScreen,A,11.1
SwapReservationData,D,9.04
UserManagementMenu,D,9.09
main,B,8.35

TOTAL_ELAPSED_TIME(sec),474.29
