function,answer,elapsed_time_sec
AddNewReservation,B,7.36
AddNewReservationScreen,D,9.4
AddNewRoom,B,21.78
AddNewRoomScreen,C,6.31
AddNewUser,C,7.66
AddNewUserScreen,A,18.47
CheckRoomAvailabilityScreen,?,3.65
DeleteReservationByID,B,11.27
DeleteReservationScreen,A,6.87
DeleteRoomByID,B,7.41
DeleteRoomScreen,C,14.07
DeleteUserByID,B,8.81
DeleteUserScreen,C,27.89
DisplayReservationCard,C,5.15
DisplayReservationsScreen,D,27.9
DisplayRoomCard,C,6.81
DisplayRoomListScreen,B,11.67
DisplayUserCard,A,6.19
DisplayUserListScreen,C,7.77
ExitScreen,C,5.32
IsDate1BeforeDate2,A,8.09
IsTime1BeforeTime2,B,7.33
MainMenu,B,7.17
PauseProgram,B,8.2
ReadDate,B,8.72
ReadIntBetween,B,8.51
ReadReservationInfo,D,18.07
ReadReservationPeriod,B,8.34
ReadRoomInfo,B,6.23
ReadTime,D,8.5
ReadUserInfo,C,4.62
ReservationManagementMenu,B,9.57
RoomManagementMenu,D,9.77
ScreenHeader,A,11.35
SearchReservationByID,B,10.6
SearchRoomByID,D,10.61
SearchRoomByIDScreen,C,11.03
SearchRoomByName,C,9.33
SearchRoomByNameScreen,D,7.07
SearchUserByFirstName,A,7.81
SearchUserByFirstNameScreen,A,8.97
SearchUserByID,D,9.67
SearchUserByIDScreen,B,6.37
SortReservationsByDate,C,10.53
SortReservationsByDateScreen,A,8.35
SwapReservationData,D,9.32
UserManagementMenu,D,6.07
main,B,10.09

TOTAL_ELAPSED_TIME(sec),481.94
