function,answer,elapsed_time_sec
AddNewReservation,B,6.51
AddNewReservationScreen,D,7.79
AddNewRoom,B,8.09
AddNewRoomScreen,A,5.23
AddNewUser,C,8.73
AddNewUserScreen,D,8.96
CheckRoomAvailabilityScreen,D,7.63
DeleteReservationByID,B,10.44
DeleteReservationScreen,D,7.42
DeleteRoomByID,B,13.34
DeleteRoomScreen,C,25.1
DeleteUserByID,B,8.85
DeleteUserScreen,?,4.96
DisplayReservationCard,C,7.92
DisplayReservationsScreen,D,11.11
DisplayRoomCard,C,8.47
DisplayRoomListScreen,C,13.6
DisplayUserCard,A,7.25
DisplayUserListScreen,C,8.78
ExitScreen,C,12.15
IsDate1BeforeDate2,A,8.44
IsTime1BeforeTime2,B,7.36
MainMenu,B,6.58
PauseProgram,B,8.02
ReadDate,B,7.67
ReadIntBetween,B,5.95
ReadReservationInfo,D,8.37
ReadReservationPeriod,D,7.47
ReadRoomInfo,D,9.68
ReadTime,D,8.64
ReadUserInfo,C,8.84
ReservationManagementMenu,B,6.61
RoomManagementMenu,B,6.75
ScreenHeader,B,5.68
SearchReservationByID,A,8.8
SearchRoomByID,A,6.91
SearchRoomByIDScreen,B,7.76
SearchRoomByName,B,7.98
SearchRoomByNameScreen,D,11.13
SearchUserByFirstName,A,7.05
SearchUserByFirstNameScreen,D,8.22
SearchUserByID,B,7.89
SearchUserByIDScreen,B,8.91
SortReservationsByDate,C,6.55
SortReservationsByDateScreen,D,9.59
SwapReservationData,A,7.63
UserManagementMenu,D,6.65
main,B,12.75

TOTAL_ELAPSED_TIME(sec),426.15
